window_start,window_id,collector,adj_eig_ratio_1_2,innermost_core_size,kirchhoff_index,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,ego_valley_free_paths_total,std_edge_ixp_cosine_dist,unique_peers,assortativity,betweenness_centrality,clustering_avg_local,core_std,degeneracy,eigenvector_centrality,frac_p2p_edges,n_customers,number_rare_ases,pagerank,rich_club_p25,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,as_path_std,edit_distance_dict_0,ego_avg_violation_depth,ego_max_violation_depth,ego_valley_free_violations,ann_wd_ratio,new_prefixes,origin_changes
2025-11-04 18:00:00+00:00,20251104_1800,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,6.552631578947368,10,1.5357142857142858,4,14,1,49,0.057624,0.017933077017131524,0,56013,0.33815,9,-0.38674124317236175,0.1504986745177086,0.2571145013377592,1.329721873911769,7,0.1200066968846565,0.2205,19.0,19,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.0400265985296795,2,0.5285,0.875,22490,0.40425531914893614,295,2
2025-11-04 18:05:00+00:00,20251104_1805,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,6.146788990825688,10,3.1514195583596214,7,11,25,34,0.015473,0.030765169045363482,0,54494,0.33815,9,-0.38674124317236175,0.1504986745177086,0.2571145013377592,1.329721873911769,7,0.12000669688465651,0.2205,19.0,18,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.1817319659412242,5,0.5404,0.875,17289,0.49284099472494347,45,31
2025-11-04 18:10:00+00:00,20251104_1810,rrc04,1.2441478683941118,18,77293.93423139754,0.0824561403508772,0.21367521367521367,0.22794117647058823,15.6,3.12291052114061,9,2.3333333333333335,4,12,0,59,0.065875,0.03931667274139106,0,46194,0.338032,8,-0.3869144378360415,0.15049867451770854,0.2560158162029295,1.2304552403932307,6,0.11995316352108208,0.2191,19.0,14,0.016394051470966876,0.030303030303030304,0.372289,0.399932,0.622444527504499,0,0.5326,0.8571,19704,0.694672131147541,976,0
2025-11-04 18:15:00+00:00,20251104_1815,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,3.2965686274509802,9,0.45141065830721006,4,12,1,30,0.076365,0.026406965729338334,0,56957,0.33815,9,-0.38674124317236175,0.15049867451770857,0.2571145013377592,1.329721873911769,7,0.12000669688465652,0.2205,19.0,8,0.016390248308433244,0.030376049653158085,0.369358,0.399932,0.9744678352443621,239,0.5116,0.8571,21771,1.5092478421701603,287,3
2025-11-04 18:20:00+00:00,20251104_1820,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,5.2917505030181085,10,2.0335403726708075,4,18,0,36,0.072702,0.036134366310279706,0,50212,0.33815,8,-0.38674124317236175,0.15049867451770854,0.2571145013377592,1.329721873911769,7,0.12000669688465648,0.2205,19.0,11,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.482354496450063,7,0.5332,0.8889,20240,1.5878594249201279,658,23
2025-11-04 18:25:00+00:00,20251104_1825,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,6.242574257425742,8,2.7151515151515153,4,21,18,37,0.033596,0.014792998990238978,0,51473,0.33815,8,-0.38674124317236175,0.15049867451770854,0.2571145013377592,1.329721873911769,7,0.12000669688465647,0.2205,19.0,12,0.016390248308433244,0.030376049653158085,0.369358,0.399932,0.6507319315180461,4,0.4988,0.9,18258,0.2983751846381093,2,18
2025-11-04 18:30:00+00:00,20251104_1830,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,7.034883720930233,10,2.0,4,16,6,33,0.043587,0.010907198298296034,0,66751,0.33815,9,-0.38674124317236175,0.15049867451770868,0.2571145013377592,1.329721873911769,7,0.12000669688465654,0.2205,19.0,7,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.5974072700223039,4,0.5376,0.9,14767,0.0979498861047836,9,6
2025-11-04 18:35:00+00:00,20251104_1835,rrc04,1.2441478683941118,18,77293.93423139754,0.0824561403508772,0.21367521367521367,0.22794117647058823,15.6,7.088888888888889,10,2.125,5,18,1,42,0.07967,0.01340183960908307,0,62555,0.338032,8,-0.3869144378360415,0.15049867451770846,0.2560158162029295,1.2304552403932307,6,0.11995316352108205,0.2191,19.0,5,0.016394051470966876,0.030303030303030304,0.372289,0.399932,1.4743599878379001,0,0.5343,0.875,29157,0.04189944134078212,3,3
2025-11-04 18:40:00+00:00,20251104_1840,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,5.6,8,1.7826086956521738,3,11,0,42,0.01935,0.01756938913056798,0,55978,0.33815,9,-0.38674124317236175,0.15049867451770865,0.2571145013377592,1.329721873911769,7,0.12000669688465647,0.2205,19.0,5,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.7795130420052185,2,0.5278,0.8571,16713,0.022281639928698752,1,2
2025-11-04 18:45:00+00:00,20251104_1845,rrc04,1.2342752179010388,9,77286.37465992365,0.08280701754385965,0.21652421652421652,0.22794117647058823,15.6,4.428571428571429,7,1.5813953488372092,4,9,1,46,0.089136,0.01591656709592719,0,50950,0.33815,8,-0.38674124317236175,0.15049867451770868,0.2571145013377592,1.329721873911769,7,0.12000669688465655,0.2205,19.0,7,0.016390248308433244,0.030376049653158085,0.369358,0.399932,1.1258474441648245,4,0.5078,0.8571,24585,0.05474095796676442,12,4
