window_start,window_id,collector,algebraic_connectivity,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,as_path_avg,as_path_max,as_path_std,edit_distance_avg,edit_distance_dict_5,unique_as_path_max,origin_changes,unique_peers,vf_rate_delta,ego_origin_violations,adj_eig_ratio_1_2,clustering_avg_local,pagerank,avg_ixp_cosine_dist,n_edges_missing_ixp_data,avg_path_length,edit_distance_max,ego_filter_ratio,flaps,n_customers,nadas,number_rare_ases
2025-11-29 07:45:00+00:00,20251129_0745,rrc04,0.3226927051661916,0.2243,21,0.2351966873706004,0.5147783251231527,0.7523809523809524,0.200832,27.0,3.754320987654321,6,0.8598371914072352,1.6855172413793102,0,30,45,8,-0.043194,0,2.776832536007936,0.5932920541282914,0.0513614832794635,0.390785,6,2.394738614172521,4,0.0133150801023484,0,67.0,2,2
2025-11-29 07:55:00+00:00,20251129_0755,rrc04,0.3231373216525083,0.2247,21,0.2360248447204969,0.5197044334975369,0.7714285714285715,0.201228,27.0,3.7422680412371134,7,0.9655833843372618,1.7725587144622992,1,32,46,8,-0.00743,0,2.782961288823029,0.5951668693045945,0.0515126632153426,0.390775,6,2.395408220911577,5,0.0127617611230349,0,67.0,17,4
2025-11-29 08:00:00+00:00,20251129_0800,rrc04,0.3229421264087555,0.2238,21,0.237851662404092,0.5147783251231527,0.7619047619047619,0.201753,27.0,3.979011509817197,6,0.9586114325386078,1.912781954887218,2,29,74,8,-0.039424,0,2.76828074032243,0.591584258230312,0.0517545759589424,0.390804,6,2.397238147238147,5,0.0217695285476677,0,67.0,0,3
2025-11-29 08:05:00+00:00,20251129_0805,rrc04,0.3229434452106981,0.2236,26,0.2382779198635976,0.5147783251231527,0.7619047619047619,0.201745,27.0,3.719447396386823,6,0.8592018269363533,1.606024096385542,0,28,49,8,0.016457,0,2.763460487510779,0.5917453431281433,0.0517477749738761,0.390804,6,2.397192647192647,4,0.0142347146278638,0,67.0,4,13
2025-11-29 08:10:00+00:00,20251129_0810,rrc04,0.3229699599879509,0.2242,26,0.2387041773231031,0.5172413793103449,0.7619047619047619,0.20176,27.0,3.5762711864406778,6,0.7847479199213103,1.5638179800221976,0,35,110,10,-0.003145,0,2.765003240965153,0.5921648324545465,0.0517417179734662,0.390804,6,2.3971698971698974,4,0.0182156133828996,0,67.0,6,16
2025-11-29 08:20:00+00:00,20251129_0820,rrc04,0.3229434452106982,0.2236,26,0.2382779198635976,0.5147783251231527,0.7619047619047619,0.201745,27.0,3.482497082847141,6,0.8903631799593517,1.9545454545454544,2,31,86,8,-0.046057,0,2.763460487510779,0.5917453431281433,0.0517477749738761,0.390804,6,2.397192647192647,5,0.0317592284669105,0,67.0,0,5
2025-11-29 08:25:00+00:00,20251129_0825,rrc04,0.3227003868416873,0.2252,26,0.2387041773231031,0.5172413793103449,0.7619047619047619,0.201578,27.0,3.82023346303502,6,0.8133781762514253,1.7880386983289358,8,25,92,9,-0.040533,0,2.758391758086066,0.5933947930033309,0.0515694141003875,0.390814,6,2.396244322418819,5,0.0229895307567461,0,67.0,0,6
2025-11-29 08:30:00+00:00,20251129_0830,rrc04,0.3229699599879512,0.2242,26,0.2387041773231031,0.5172413793103449,0.7619047619047619,0.20176,27.0,3.8268656716417913,7,0.8491116912449365,1.753607103218646,0,29,73,10,-0.01216,0,2.765003240965153,0.5921648324545465,0.0517417179734662,0.390804,6,2.3971698971698974,6,0.0181756503419093,0,67.0,0,7
2025-11-29 08:35:00+00:00,20251129_0835,rrc04,0.3229450946471707,0.2236,21,0.2293762575452716,0.5147783251231527,0.7619047619047619,0.201665,27.0,3.852788586251621,6,0.8252909380533099,1.865606936416185,1,29,97,9,-0.040112,0,2.766941613302188,0.5906950767859434,0.0517477815011464,0.390804,6,2.397192647192647,5,0.0296001977148723,0,67.0,10,7
2025-11-29 08:40:00+00:00,20251129_0840,rrc04,0.322699093829311,0.2254,21,0.2382779198635976,0.5172413793103449,0.7619047619047619,0.201586,27.0,3.7256822953114064,7,0.8527708420654876,1.7557677008750994,1,27,90,9,-0.051254,0,2.763321387705132,0.5932350479334876,0.0515761660235391,0.390814,6,2.3962895170948864,5,0.0259601449275362,0,67.0,0,5
