source,target,weight
6939,15994,1
6939,138997,1
6939,21859,1
3356,6939,1
6939,28665,1
6939,52925,1
6939,35753,1
6939,263444,1
6939,54113,1
6939,15695,1
6939,28173,1
6939,208103,1
6939,263311,1
6939,210847,1
6939,55256,1
6939,263238,1
6939,132203,1
6939,199524,1
6939,48266,1
6939,19551,1
6939,13150,1
6939,63199,1
6939,210055,1
6939,52580,1
6939,27924,1
6939,19855,1
6939,30383,1
6939,27781,1
6939,14259,1
3320,6939,1
1267,6939,1
3257,6939,1
6939,203936,1
6939,32098,1
6939,7979,1
6939,23379,1
6939,269832,1
6939,52873,1
6939,53087,1
6939,52640,1
6939,263961,1
6939,28126,1
6939,14178,1
6939,60917,1
6939,31898,1
6939,263327,1
6939,21351,1
6939,12189,1
6939,32590,1
6939,401322,1
6939,23344,1
6939,28008,1
6939,272022,1
6939,52863,1
2856,3303,1
1299,23344,1
3356,23344,1
3257,23344,1
1299,23379,1
3303,23379,1
23379,267700,1
7004,14259,1
7004,400696,1
1299,13150,1
3303,13150,1
3257,13150,1
3356,13150,1
13150,21859,1
13150,52468,1
1299,54113,1
3356,54113,1
21859,54113,1
5511,54113,1
3257,54113,1
3320,54113,1
1299,199524,1
3257,199524,1
3356,199524,1
52320,199524,1
21859,199524,1
5511,199524,1
3320,199524,1
3352,197478,1
1299,21351,1
3303,21351,1
3356,39784,1
3352,209774,1
3356,33662,1
3352,43919,1
3352,60314,1
3356,263073,1
13335,263073,1
3352,25508,1
3352,199589,1
3356,35753,1
35753,132203,1
35753,55256,1
35753,400696,1
13335,35753,1
31898,35753,1
11179,13335,1
1299,11179,1
3356,11179,1
11179,15830,1
3320,11179,1
3352,29612,1
3352,48048,1
3352,25544,1
3352,29661,1
3356,5089,1
3352,216034,1
13335,21508,1
13335,15830,1
1299,13335,1
3356,13335,1
3257,13335,1
13335,265554,1
7979,13335,1
13335,28126,1
13335,31898,1
13335,14259,1
13335,52468,1
12252,13335,1
5511,13335,1
3352,207904,1
3257,21559,1
3303,21559,1
1299,21559,1
3356,263238,1
3356,21575,1
3352,48202,1
3352,210007,1
3352,212059,1
3352,44127,1
1299,19551,1
3257,19551,1
5511,19551,1
3303,19551,1
3320,19551,1
3356,19551,1
19551,32098,1
1299,52320,1
3257,52320,1
28126,52320,1
52320,52468,1
52320,53237,1
3356,52320,1
3303,52320,1
15964,52320,1
3356,132203,1
1299,132203,1
3303,132203,1
21859,132203,1
3303,27781,1
3356,48266,1
27796,52468,1
1299,31898,1
3356,31898,1
3257,31898,1
3320,31898,1
3352,42147,1
3303,13489,1
13489,15830,1
3257,3356,1
1299,3257,1
3257,3303,1
3257,32098,1
3257,15830,1
3257,12252,1
3257,20355,1
3257,21859,1
3257,48348,1
3257,63199,1
3257,28458,1
3257,32590,1
3257,55256,1
3257,15695,1
3257,23764,1
3257,5511,1
3257,15994,1
3257,3320,1
3356,27843,1
3356,23764,1
1299,23764,1
3303,23764,1
21859,23764,1
3352,206046,1
3352,42211,1
3352,42212,1
3303,3320,1
3303,3356,1
3303,32098,1
3303,52468,1
3303,21859,1
3303,16371,1
3303,136907,1
1267,3303,1
3303,269832,1
3303,12189,1
3303,263444,1
27882,28008,1
3352,210158,1
1267,3356,1
1267,1299,1
5511,52468,1
1299,52468,1
3356,52468,1
52468,53237,1
52468,269831,1
52468,271929,1
52468,263824,1
52468,265724,1
52468,263783,1
52468,270068,1
3352,44280,1
3352,15608,1
3352,201976,1
1299,3320,1
3320,3356,1
3320,5511,1
3320,136907,1
3320,55256,1
3352,212230,1
7438,32098,1
3352,15633,1
1299,3356,1
1299,5511,1
1299,46887,1
1299,21859,1
1299,15830,1
1299,269832,1
1299,12189,1
1299,12252,1
1299,263444,1
1299,7979,1
1299,14178,1
1299,8069,1
1299,15695,1
1299,265724,1
1299,63199,1
1299,55256,1
1299,32590,1
1299,8075,1
1299,15964,1
1299,52580,1
1299,28458,1
3356,263444,1
3352,16371,1
3352,200669,1
3352,204643,1
3352,204748,1
3352,198355,1
3352,400696,1
3352,57117,1
3352,44585,1
3352,48884,1
3352,200521,1
3352,51152,1
3352,16373,1
3352,208635,1
3352,208726,1
3352,44989,1
3352,16383,1
3356,5511,1
3356,19855,1
3356,46887,1
3356,15830,1
3356,27986,1
3356,28024,1
3356,14259,1
3356,15994,1
3356,28126,1
3356,28186,1
3356,12189,1
3356,28665,1
3356,52925,1
3356,263702,1
3356,21859,1
3356,136907,1
3356,53087,1
3356,52973,1
3356,270068,1
3356,7979,1
3356,52873,1
3356,14178,1
3356,63199,1
3356,32067,1
3356,7726,1
3356,32098,1
3356,55256,1
3356,202310,1
3356,3816,1
3356,8075,1
3356,401322,1
3356,28173,1
3356,272022,1
3356,15695,1
3356,32590,1
3356,30383,1
3356,271868,1
3356,28458,1
3816,400696,1
48728,400696,1
20355,400696,1
7782,400696,1
5511,400696,1
15830,400696,1
21859,63199,1
21859,55256,1
21859,32590,1
52580,52925,1
5511,136907,1
5511,55256,1
263702,271803,1
263702,265662,1
263702,267724,1
15830,204643,1
15830,30383,1
28186,52863,1
11921,52925,1
12252,136907,1
14178,136907,1
8069,8075,1
