bucket,pair,balance_fit,calibration,alignment,classifier,view,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,recall_anomaly_mean,recall_anomaly_std
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,graph,0.0474,0.0,0.1028,0.0337,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,random_forest,stat,0.0474,0.0,0.4058,0.0286,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,fusion_early,0.0474,0.0,0.2363,0.1397,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,fusion_late_attention,0.0474,0.0,0.2852,0.0897,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,fusion_late_mean,0.0474,0.0,0.2312,0.0881,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,fusion_late_or,0.0474,0.0,0.2776,0.0666,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,graph,0.0474,0.0,0.1165,0.0039,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,after_coral,xgboost,stat,0.0474,0.0,0.2776,0.0666,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,fusion_early,0.0507,0.0051,0.0688,0.0062,0.9983,0.0039
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,fusion_late_attention,0.0477,0.0006,0.057,0.0087,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,fusion_late_mean,0.049,0.0033,0.0579,0.0093,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,fusion_late_or,0.0477,0.0004,0.0574,0.0093,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,graph,0.1992,0.21,0.0784,0.0276,0.695,0.4305
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,lstm,stat,0.0501,0.0057,0.0574,0.0093,0.9994,0.0013
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,fusion_early,0.0952,0.0592,0.3691,0.0898,0.965,0.0734
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,fusion_late_attention,0.2659,0.1413,0.2881,0.0968,0.8052,0.1787
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,fusion_late_mean,0.3092,0.1114,0.269,0.1026,0.7784,0.1726
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,fusion_late_or,0.2044,0.1667,0.3076,0.1005,0.8752,0.1684
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,graph,0.3113,0.2409,0.1033,0.0428,0.4,0.5477
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,mlp,stat,0.3024,0.1142,0.3071,0.1009,0.7837,0.1748
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,fusion_early,0.0474,0.0,0.121,0.0185,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,fusion_late_attention,0.0474,0.0,0.1188,0.0202,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,fusion_late_mean,0.0474,0.0,0.1766,0.0155,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,fusion_late_or,0.0474,0.0,0.1138,0.0196,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,graph,0.0474,0.0,0.1204,0.0078,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,random_forest,stat,0.0474,0.0,0.1138,0.0196,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,fusion_early,0.0479,0.0007,0.24,0.048,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,fusion_late_attention,0.0474,0.0,0.1782,0.0531,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,fusion_late_mean,0.0474,0.0,0.1527,0.0474,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,fusion_late_or,0.0474,0.0,0.2377,0.0271,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,graph,0.0474,0.0,0.1033,0.0361,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,equal,none,before_coral,xgboost,stat,0.0474,0.0,0.2377,0.0271,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,fusion_early,0.0474,0.0,0.0424,0.0048,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,fusion_late_attention,0.0474,0.0,0.05,0.0054,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,fusion_late_mean,0.0474,0.0,0.0497,0.005,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,fusion_late_or,0.0474,0.0,0.0401,0.0014,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,graph,0.0474,0.0,0.0489,0.0042,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,lstm,stat,0.0474,0.0,0.0401,0.0014,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,fusion_early,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,fusion_late_attention,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,fusion_late_mean,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,fusion_late_or,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,graph,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,mlp,stat,0.0474,0.0,0.0498,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,fusion_early,0.4872,0.0,0.406,0.0571,0.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,fusion_late_attention,0.0474,0.0,0.4225,0.0599,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,fusion_late_mean,0.3141,0.3634,0.4289,0.0516,0.7137,0.392
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,fusion_late_or,0.0477,0.0006,0.4137,0.0615,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,graph,0.4872,0.0,0.0828,0.0325,0.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,random_forest,stat,0.0477,0.0006,0.4137,0.0615,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,fusion_early,0.0474,0.0,0.1435,0.0849,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,fusion_late_attention,0.0474,0.0,0.1257,0.0272,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,fusion_late_mean,0.0474,0.0,0.1264,0.0263,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,fusion_late_or,0.0474,0.0,0.0846,0.0562,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,graph,0.0474,0.0,0.0928,0.0211,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,after_coral,xgboost,stat,0.0474,0.0,0.0846,0.0562,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,fusion_early,0.0476,0.0002,0.0618,0.0141,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,fusion_late_attention,0.0538,0.0141,0.0596,0.0179,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,fusion_late_mean,0.0541,0.0148,0.0617,0.0205,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,fusion_late_or,0.0474,0.0,0.0596,0.0176,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,graph,0.0474,0.0,0.0952,0.0224,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,lstm,stat,0.0552,0.0171,0.0596,0.0176,0.9994,0.0013
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,fusion_early,0.0841,0.0397,0.1561,0.0313,0.9114,0.1205
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,fusion_late_attention,0.0762,0.0594,0.1186,0.0165,0.9691,0.0466
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,fusion_late_mean,0.1189,0.1022,0.1077,0.012,0.9131,0.1268
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,fusion_late_or,0.1081,0.101,0.1391,0.0147,0.9254,0.1173
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,graph,0.3993,0.1967,0.0891,0.0497,0.2,0.4472
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,mlp,stat,0.1085,0.1007,0.1394,0.0143,0.9254,0.1173
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,fusion_early,0.2125,0.0295,0.1079,0.029,0.9574,0.0308
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,fusion_late_attention,0.0474,0.0,0.0733,0.0038,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,fusion_late_mean,0.07,0.0069,0.1077,0.0115,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,fusion_late_or,0.0474,0.0,0.0736,0.004,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,graph,0.0474,0.0,0.109,0.002,1.0,0.0
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,random_forest,stat,0.1174,0.0297,0.0717,0.004,0.993,0.0033
cross_as,rrc04_as12880__to__rrc05_as3352,none,none,before_coral,xgboost,fusion_early,0.0474,0.0,0.1995,0.0455,1.0,0.0
