pair,balance_fit,alignment,classifier,view,stage1a,stage1b,delta
rrc04_as12880__to__rrc05_as3352,equal,before_coral,lstm,stat,0.0501,0.0758,0.0257
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_early,0.0952,0.1139,0.0187
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_attention,0.2659,0.1975,-0.0684
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_mean,0.3092,0.2786,-0.0305
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_or,0.2044,0.1743,-0.0301
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,graph,0.3113,0.4872,0.1759
rrc04_as12880__to__rrc05_as3352,equal,before_coral,mlp,stat,0.3024,0.1743,-0.128
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,random_forest,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,fusion_early,0.0479,0.0474,-0.0004
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,equal,before_coral,xgboost,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,graph,0.0474,0.1354,0.088
rrc04_as12880__to__rrc05_as3352,none,after_coral,lstm,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,mlp,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,fusion_early,0.4872,0.0474,-0.4398
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_mean,0.3141,0.0474,-0.2666
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_or,0.0477,0.0474,-0.0003
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,graph,0.4872,0.0474,-0.4398
