bucket,coral_kind,pair,source,target,feature_set,balance_fit,calibration,alignment,classifier,edge,view,macro_f1_mean,macro_f1_std,precision_normal_mean,precision_normal_std,precision_anomaly_mean,precision_anomaly_std,recall_normal_mean,recall_normal_std,recall_anomaly_mean,recall_anomaly_std,f1_normal_mean,f1_normal_std,f1_anomaly_mean,f1_anomaly_std,balanced_accuracy_mean,balanced_accuracy_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,TP_mean,TP_std,n_rows_mean,n_rows_std,n_anomaly_mean,n_anomaly_std,n_normal_mean,n_normal_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,ece_mean,ece_std,brier_mean,brier_std,fit_ms_mean,fit_ms_std,predict_target_ms_mean,predict_target_ms_std,predict_source_ms_mean,predict_source_ms_std,single_window_ms_median_mean,single_window_ms_median_std,single_window_ms_p95_mean,single_window_ms_p95_std,batched_ms_per_window_median_mean,batched_ms_per_window_median_std
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,graph,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.091186,0.007372,0.536679,0.016730,0.366639,0.018257,1207.568000,406.679646,135.361200,43.736288,113.388800,30.137118,72.289320,22.398831,90.708500,41.031432,0.015160,0.002863
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,random_forest,,stat,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.543769,0.269295,0.711875,0.016179,0.581347,0.026028,1252.328400,304.619734,162.361800,56.410495,134.342000,40.986644,88.328420,22.461278,144.143800,29.188146,0.017900,0.003182
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,fusion_early,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.146345,0.040580,0.913585,0.000106,0.913272,0.000180,571.432600,119.852369,18.427000,7.207673,3.667400,2.138557,0.685700,0.025797,0.805360,0.148099,0.001700,0.000840
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,fusion_late_attention,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.111006,0.087261,0.892069,0.002007,0.874400,0.003577,1.870000,0.252664,0.215400,0.049359,,,0.000012,0.000000,0.000012,0.000000,0.000012,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,fusion_late_mean,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.111006,0.087261,0.858845,0.019604,0.816534,0.033527,0.000000,0.000000,,,,,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,fusion_late_or,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.105073,0.089498,0.913748,0.000048,0.913551,0.000080,0.000000,0.000000,,,,,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,graph,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.089901,0.005334,0.803967,0.039252,0.726160,0.062474,875.952800,578.658410,25.958600,12.587243,6.143600,3.272028,0.705480,0.100805,4.196540,5.168218,0.002680,0.001055
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,xgboost,,stat,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.105073,0.089498,0.913748,0.000048,0.913551,0.000080,530.093800,192.326802,16.807400,10.450188,2.762400,0.456363,0.622040,0.048165,1.255600,1.364424,0.001340,0.000152
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,before_coral,gnn,knn,fusion_early,0.083948,0.005494,0.843761,0.085572,0.085914,0.000116,0.004917,0.005496,0.993912,0.004027,0.009739,0.010843,0.158157,0.000146,0.499415,0.000736,34.333333,38.370996,6947.666667,38.370996,4.000000,2.645751,653.000000,2.645751,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.085629,0.001359,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,before_coral,gnn,knn,graph,0.211974,0.229980,0.304665,0.527695,0.057337,0.049656,0.333333,0.577350,0.666667,0.577350,0.318355,0.551407,0.105593,0.091446,0.500000,0.000000,2327.333333,4031.059579,4654.666667,4031.059579,219.000000,379.319127,438.000000,379.319127,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.073092,0.007235,,,,,,,,,,,,,,,,
